<<<<<<< HEAD
title,heading,tokens
Who takes part in clinical trials? 12,"Many different types of people take part in clinical trials. Some are healthy, while others may have illnesses. Research procedures with healthy volunteers are designed to develop new knowledge, not to provide direct benefit to those taking part. Healthy volunteers have always played an important role in research. Healthy volunteers are needed for several reasons. When developing a new technique, such as a blood test or imaging device, healthy volunteers help define the limits of ""normal."" These volunteers are the baseline against which patient groups are compared and are often matched to patients on factors such as age, gender, or family relationship. They receive the same tests, procedures, or drugs the patient group receives. Researchers learn about the disease process by comparing the patient group to the healthy volunteers. Factors like how much of your time is needed, discomfort you may feel, or risk involved depends on the trial. While some require minimal amounts of time and effort, other studies may require a major commitment of your time and effort, and may involve some discomfort. The research procedure(s) may also carry some risk. The informed consent process for healthy volunteers includes a detailed discussion of the study's procedures and tests and their risks. A patient volunteer has a known health problem and takes part in research to better understand, diagnose, or treat that disease or condition. Research with a patient volunteer helps develop new knowledge. Depending on the stage of knowledge about the disease or condition, these procedures may or may not benefit the study participants. Patients may volunteer for studies similar to those in which healthy volunteers take part. These studies involve drugs, devices, or treatments designed to prevent,or treat disease. Although these studies may provide direct benefit to patient volunteers, the main aim is to prove, by scientific means, the effects and limitations of the experimental treatment. Therefore, some patient groups may serve as a baseline for comparison by not taking the test drug, or by receiving test doses of the drug large enough only to show that it is present, but not at a level that can treat the condition. Researchers follow clinical trials guidelines when deciding who can participate, in a study. These guidelines are called Inclusion/Exclusion Criteria. Factors that allow you to take part in a clinical trial are called ""inclusion criteria."" Those that exclude or prevent participation are ""exclusion criteria."" These criteria are based on factors such as age, gender, the type and stage of a disease, treatment history, and other medical conditions. Before joining a clinical trial, you must provide information that allows the research team to determine whether or not you can take part in the study safely. Some research studies seek participants with illnesses or conditions to be studied in the clinical trial, while others need healthy volunteers. Inclusion and exclusion criteria are not used to reject people personally. Instead, the criteria are used to identify appropriate participants and keep them safe, and to help ensure that researchers can find new information they need.",586
What do I need to know if I am thinking about taking part in a clinical trial? 13,"Risks and potential benefits: Clinical trials may involve risk, as can routine medical care and the activities of daily living. When weighing the risks of research, you can think about these important factors: The possible harms that could result from taking part in the study, The level of harm, The chance of any harm occurring. Most clinical trials pose the risk of minor discomfort, which lasts only a short time. However, some study participants experience complications that require medical attention. In rare cases, participants have been seriously injured or have died of complications resulting from their participation in trials of experimental treatments. The specific risks associated with a research protocol are described in detail in the informed consent document, which participants are asked to consider and sign before participating in research. Also, a member of the research team will explain the study and answer any questions about the study. Before deciding to participate, carefully consider risks and possible benefits. Potential benefits: Well-designed and well-executed clinical trials provide the best approach for you to: Help others by contributing to knowledge about new treatments or procedures, Gain access to new research treatments before they are widely available, Receive regular and careful medical attention from a research team that includes doctors and other health professionals. Risks: Risks to taking part in clinical trials include the following: There may be unpleasant, serious, or even life-threatening effects of experimental treatment, The study may require more time and attention than standard treatment would, including visits to the study site, more blood tests, more procedures, hospital stays, or complex dosage schedules.",325
What questions should I ask if offered a clinical trial? 14,"If you are thinking about taking part in a clinical trial, you should feel free to ask any questions or bring up any issues concerning the trial at any time. The following suggestions may give you some ideas as you think about your own questions. The study: What is the purpose of the study? Why do researchers think the approach may be effective? Who will fund the study? Who has reviewed and approved the study? How are study results and safety of participants being monitored? How long will the study last? What will my responsibilities be if I take part? Who will tell me about the results of the study and how will I be informed? Risks and possible benefits: What are my possible short-term benefits? What are my possible long-term benefits? What are my short-term risks, and side effects? What are my long-term risks? What other options are available? How do the risks and possible benefits of this trial compare with those options? Participation and care: What kinds of therapies, procedures and/or tests will I have during the trial? Will they hurt, and if so, for how long? How do the tests in the study compare with those I would have outside of the trial? Will I be able to take my regular medications while taking part in the clinical trial? Where will I have my medical care? Who will be in charge of my care? Personal issues: How could being in this study affect my daily life? Can I talk to other people in the study? Cost issues: Will I have to pay for any part of the trial such as tests or the study drug? If so, what will the charges likely be? What is my health insurance likely to cover? Who can help answer any questions from my insurance company or health plan? Will there be any travel or child care costs that I need to consider while I am in the trial? Tips for asking your doctor about trials: Consider taking a family member or friend along for support and for help in asking questions or recording answers. Plan what to ask — but don't hesitate to ask any new questions. Write down questions in advance to remember them all. Write down the answers so that they’re available when needed. Ask about bringing a tape recorder to make a taped record of what's said (even if you write down answers).",472
How is my safety protected? 15,"Ethical guidelines: The goal of clinical research is to develop knowledge that improves human health or increases understanding of human biology. People who take part in clinical research make it possible for this to occur. The path to finding out if a new drug is safe or effective is to test it on patients in clinical trials. The purpose of ethical guidelines is both to protect patients and healthy volunteers, and to preserve the integrity of the science. Informed consent: Informed consent is the process of learning the key facts about a clinical trial before deciding whether to participate. The process of providing information to participants continues throughout the study. To help you decide whether to take part, members of the research team explain the study. The research team provides an informed consent document, which includes such details about the study as its purpose, duration, required procedures, and who to contact for various purposes. The informed consent document also explains risks and potential benefits. If you decide to enroll in the trial, you will need to sign the informed consent document. You are free to withdraw from the study at any time. IRB review: Most, but not all, clinical trials in the United States are approved and monitored by an Institutional Review Board (IRB) to ensure that the risks are minimal when compared with potential benefits. An IRB is an independent committee that consists of physicians, statisticians, and members of the community who ensure that clinical trials are ethical and that the rights of participants are protected. You should ask the sponsor or research coordinator whether the research you are considering participating in was reviewed by an IRB.",322
What happens after a clinical trial is completed? 16,"After a clinical trial is completed, the researchers carefully examine information collected during the study before making decisions about the meaning of the findings and about the need for further testing. After a phase I or II trial, the researchers decide whether to move on to the next phase or to stop testing the treatment or procedure because it was unsafe or not effective. When a phase III trial is completed, the researchers examine the information and decide whether the results have medical importance. Results from clinical trials are often published in peer-reviewed scientific journals. Peer review is a process by which experts review the report before it is published to ensure that the analysis and conclusions are sound. If the results are particularly important, they may be featured in the news, and discussed at scientific meetings and by patient advocacy groups before or after they are published in a scientific journal. Once a new approach has been proven safe and effective in a clinical trial, it may become a new standard of medical practice. Ask the research team members if the study results have been or will be published. Published study results are also available by searching for the study's official name or Protocol ID number in the National Library of Medicine's PubMed® database.",243
How does clinical research make a difference to me and my family? 17,"Only through clinical research can we gain insights and answers about the safety and effectiveness of treatments and procedures. Groundbreaking scientific advances in the present and the past were possible only because of participation of volunteers, both healthy and those with an illness, in clinical research. Clinical research requires complex and rigorous testing in collaboration with communities that are affected by the disease. As research opens new doors to finding ways to diagnose, prevent, treat, or cure disease and disability, clinical trial participation is essential to help us find the answers.",115
Find a clinical trial Around the Nation and Worldwide 18,"NIH conducts clinical research trials for many diseases and conditions, including cancer, Alzheimer’s disease, allergy and infectious diseases, and neurological disorders. To search for other diseases and conditions, you can visit ClinicalTrials.gov. ClinicalTrials.gov is a searchable registry and results database of federally and privately supported clinical trials conducted in the United States and around the world. ClinicalTrials.gov gives you information about a trial's purpose, who may participate, locations, and phone numbers for more details. This information should be used in conjunction with advice from health care professionals. Listing a study does not mean it has been evaluated by the U.S. Federal Government. Read the disclaimer on ClinicalTrials.gov for details. Before participating in a study, talk to your health care provider and learn about the risks and potential benefits.",170
Join a National Registry of Research Volunteers 19,"ResearchMatch.org is an NIH-funded initiative to connect 1) people who are trying to find research studies, and 2) researchers seeking people to participate in their studies. It is a free, secure registry to make it easier for the public to volunteer and to become involved in clinical research studies that contribute to improved health in the future.",75
Clinical Research 20,Clinical research is medical research that involves people to test new treatments and therapies.,17
Clinical Trial 21,A research study in which one or more human subjects are prospectively assigned to one or more interventions (which may include placebo or other control) to evaluate the effects of those interventions on health-related biomedical or behavioral outcomes.,45
Healthy Volunteer 22,"A Healthy volunteer is a person with no known significant health problems who participates in clinical research to test a new drug, device, or intervention.",30
Inclusion/Exclusion Criteria 23,Inclusion/Exclusion Criteria are factors that allow someone to participate in a clinical trial are inclusion criteria. Those that exclude or not allow participation are exclusion criteria.,38
Informed Consent 24,Informed consent explains risks and potential benefits about a clinical trial before someone decides whether to participate.,22
Patient Volunteer 25,"A patient volunteer has a known health problem and participates in research to better understand, diagnose, treat, or cure that disease or condition.",29
Phases of Clinical Trials 26,"Clinical trials are conducted in “phases.” The trials at each phase have a different purpose and help researchers answer different questions. Phase I trials — An experimental drug or treatment in a small group of people (20–80) for the first time. The purpose is to evaluate its safety and identify side effects. Phase II trials — The experimental drug or treatment is administered to a larger group of people (100–300) to determine its effectiveness and to further evaluate its safety. Phase III trials — The experimental drug or treatment is administered to large groups of people (1,000–3,000) to confirm its effectiveness, monitor side effects, compare it with standard or equivalent treatments. Phase IV trials — After a drug is licensed and approved by the FDA researchers track its safety, seeking more information about its risks, benefits, and optimal use.",174
Placebo 27,A placebo is a pill or liquid that looks like the new treatment but does not have any treatment value from active ingredients.,26
Protocol 28,A Protocol is a carefully designed plan to safeguard the participants’ health and answer specific research questions.,20
Principal Investigator 29,"A Principal Investigator is a doctor who leads the clinical research team and, along with the other members of the research team, regularly monitors study participants’ health to determine the study’s safety and effectiveness.",43
Randomization 30,Randomization is the process by which two or more alternative treatments are assigned to volunteers by chance rather than by choice.,25
Single- or Double-Blind Studies 31,"Single- or double-blind studies (also called single- or double-masked studies) are studies in which the participants do not know which medicine is being used, so they can describe what happens without bias. In single-blind (""single-masked"") studies, you are not told what is being given, but the research team knows. In a double-blind study, neither you nor the research team are told what you are given; only the pharmacist knows. Members of the research team are not told which participants are receiving which treatment, in order to reduce bias. If medically necessary, however, it is always possible to find out which treatment you are receiving.",138
Types of Clinical Trials 32,"Diagnostic trials determine better tests or procedures for diagnosing a particular disease or condition. Natural history studies provide valuable information about how disease and health progress. Prevention trials look for better ways to prevent a disease in people who have never had the disease or to prevent the disease from returning. Quality of life trials (or supportive care trials) explore and measure ways to improve the comfort and quality of life of people with a chronic illness. Screening trials test the best way to detect certain diseases or health conditions. Treatment trials test new treatments, new combinations of drugs, or new approaches to surgery or radiation therapy.",122
What is clinical research and why is it done? 33,"Clinical research is medical research that studies people to understand health and disease. Clinical research helps improve the way doctors treat and prevent illness. Through clinical research, researchers learn: How the body works How illness develops in people, such as how diseases get better or worse over time How the body handles a possible treatment Which behaviors help people stay healthy and prevent illness, and which behaviors raise the chance of illness The goal is to use science to improve people’s health care and health over time. The participants who join and take part in clinical research studies may or may not get any benefit for themselves.",126
What are the types of clinical research? 34,"There are 2 main types of clinical research: Clinical trials, also called interventional studies Observational studies Both may try to learn more about an intervention, which may be a drug, behavior, or medical device. The main difference is clinical trial participants are assigned to get an intervention, but observational study participants are not assigned to get an intervention.",77
Clinical trials 35,"Clinical trials are research studies in which researchers assign participants to get one or more interventions to test what happens in people. Because of this, clinical trials are also called interventional studies. Often, the intervention is investigational, which means it is not approved for doctors to prescribe to people. In some clinical trials, researchers assign participants to interventions randomly. This means that researchers assign the participants by chance. Usually, participants (or their doctors) don't choose what intervention they will get when they join a clinical trial.",104
Observational studies 36,"Observational studies are research studies in which researchers simply collect information (called data) from participants or look at data that was already collected. The data may be about participants’ health, habits, or environments. In observational studies, researchers do not assign participants to get an intervention. If there is an intervention, participants were already using it as part of their regular health care or daily life. Often, researchers use observational studies to look at (observe) the different ways people behave and how it affects their health. Some observational studies use patient registries. A patient registry is an organized collection of data that patients agree to give. Researchers can use a patient registry to quickly access data provided by hundreds, or thousands, of similar patients.",148
What is the main difference between the types of clinical research studies? 37,"What is the main difference between the types of clinical research studies? The main difference is if researchers assign participants to get an intervention, such as a drug, behavior, or medical device. Clinical trial: In clinical trials, researchers do assign participants to one or more interventions. Sometimes, researchers randomly assign participants to interventions. Observational study: In observational studies, researchers do not assign participants to an intervention. If there is an intervention, participants were already using as part of their regular health care or daily life.",114
Who can join clinical research? 38,"Researchers look for people who fit a certain description, called eligibility criteria. These criteria give details on who can and cannot join a study and could include: People of a certain age or gender People who do or do not have a certain illness, disease, or health condition People with or without a certain health history, such as a prior treatment People who are exposed to or are in contact with something that affects their health Researchers use eligibility criteria to keep participants safe and enroll the right participants to collect the data they need to answer the research question. There are many kinds of research studies, all with different types of eligibility criteria.",129
Why do people join clinical research? 39,"Participants may or may not get any benefit themselves from joining a clinical research study. In clinical trials, researchers often don’t know if the intervention will be helpful, harmful, or the same as regular health care. Some people volunteer to join clinical research to: Help researchers learn about health, illness, or treatments Be a part of discovering health information that may help others in the future Possibly get a drug or medical device that is not yet approved to be used in people with a certain health condition",104
What about safety and chance of harm (risk) during clinical research? 40,"All studies involve some level of risk or harm to participants. Because of this, there are people and systems in place to look out for participants’ safety. The possible risks of taking part in clinical research include: The chance that participants will have a side effect or other health problem during a study (also called an adverse event) Participants may not get the intervention being tested in a clinical trial – instead, they may get the standard treatment or no treatment at all The intervention being tested may not work or may not work better than the standard treatment The study may require more time and visits than their regular health care. All clinical research involves some risk. Different kinds of studies have different amounts of risk to participants. For example, the amount of risk may be the same or different as participants’ regular health care.",174
How do researchers manage risk during clinical research? 41,"In most clinical research studies, researchers use a group of experts, called an ethics review committee or Institutional Review Board (IRB), to make sure the amount of risk to participants is acceptable and as low as possible. They compare the study risks to the study benefits that participants or others in the future may receive to improve their health. For example, the IRB may decide that a clinical trial with a higher risk can proceed because the trial is testing a new drug that could help people who have no other treatment options. Some studies that take place in the U.S. or are funded by the U.S. government must follow rules set by other U.S. agencies to help manage risk. These agencies include the Office for Human Research Protections (OHRP) and the Food and Drug Administration (FDA). Other countries may have their own rules, agencies, or offices to help manage risk. Many clinical trials for new drugs or medical devices move in a series of steps (called phases) to keep risk to participants as low as possible and answer different research questions. Each phase is designed to test the drug or device in as few participants as possible to answer the research question. Some clinical trials are considered more than one phase.",253
What happens during clinical research: Before clinical research begins 42,"Clinical research relies on people who join. People who are thinking about joining a study get information about the study to help them decide. Research staff are available to answer their questions. This process is called informed consent. It’s the main way people get study information before deciding whether or not to join a study. Informed consent is a process that includes a document that has important information about taking part in the study, including: A description of what will happen during the study Who can join the study How much of participants’ time the study will take Any payments and costs, such as payment participants get from taking part and any costs participants may need to pay The known benefits and risks of taking part in the study Other ways people can get information about a study may include: Asking the research study staff questions Reading brochures or websites Watching videos about the study If someone has discussed the study with the research staff, has had their questions answered, and agrees to join the study, they sign the informed consent form. Even if they sign the informed consent, they can leave the study at any time and for any reason. If they decide to leave, they can talk to the research staff to do so safely.",249
What happens during clinical research: During clinical research 43,"Clinical research happens in many ways, depending on the type of study. Studies can take place at hospitals, clinics, research centers, universities, over the phone, or on the internet. They may take a few days, weeks, or even years. Researchers may assign participants into different groups. This happens in studies that compare an intervention to something else. For example, researchers may: Compare 2 drugs to see which works better or has fewer unwanted side effects Compare a drug to a placebo (a substance or treatment that looks like the drug, and is given in the same way, but has no active drug) Compare getting a treatment to no treatment Often in clinical trials, researchers assign participants into the groups at random (by chance). These participants may not know what group (or intervention) they have been assigned, and the staff may not know either. This is called ""masking"" or ""blinding"". This ensures that participants and research staff do not know what intervention each participant receives to help make sure the results are looked at fairly In other types of clinical trials, all the participants get the intervention being studied.",232
How does joining a study affect participants’ usual health care? 44,"In most studies, participants can keep seeing their regular doctors. If needed, the research staff will work with participants’ doctors to make sure that being in the study will not cause problems. In some studies, participants may have to change or limit their usual health care, such as stopping other medicines they take.",73
What if participants have health problems during clinical research? 45,"Research staff will explain what to do if participants have health problems during the study. Usually, research staff ask participants to report health problems to them right away. Research staff include doctors and nurses who will work with participants and the participants’ regular doctors to address the problem. A group of experts may also oversee what is happening in the study. If they have a safety concern, they contact the researchers right away. If very serious health problems happen to participants during the study, the researchers may stop the study. Participants can choose to leave the study, called ""withdrawal"", at any time and for any reason. If they decide to leave, they can talk to the research staff to do so safely.",149
How do researchers collect data? 46,"During the study, researchers collect data from participants to help answer their research question. They do this in different ways, such as: Surveys or questionnaires Getting images, such as X-rays or MRIs Taking measurements, such as height, weight, or blood pressure Taking samples of participants’ blood or tissue to look at in a lab Researchers may need to collect data from participants many times or only a few times.",89
How do researchers use the data they collect? 47,Researchers analyze (study) the data they collect from participants based on the research plan to answer their research questions. Different countries have different rules about how researchers can use each type of data. The informed consent form describes what researchers plan to do with participants’ data.,61
"After clinical research, how do researchers share what they learned? 48","After the researchers analyze the data and the study is complete, researchers can share the study results. Study results summarize group data collected from all participants. These results can be published in research journals, on the internet, and on ClinicalTrials.gov. In some cases, researchers may list data from individual participants, but not in a way that allows readers to identify the participant. If the researchers tested a new drug or treatment that they want to make available to all patients, they submit the data and results from clinical trials to the FDA. Experts at the FDA will look at the data from the clinical trials and decide whether to approve the treatment for use in people with a certain condition. Usually, researchers need many studies before changing the way doctors prevent and treat illnesses.",163
Who carries out clinical research? 49,"The sponsor oversees a study and may be: An organization, such as a medical center or drug maker An individual, such as a doctor The sponsor may have another organization carry out the study on their behalf. The person leading a research study is called the principal investigator (PI). The PI is usually a medical doctor or another type of scientist. The PI typically works for the sponsor and leads a team of research staff that could include doctors, nurses, researchers, and technicians. The team of research staff may work at sites around the U.S. and other countries to carry out the research.",123
Who pays for clinical research? 50,"The funder is the organization that pays the costs of carrying out a study. The funder can be: The U.S. government, or governments of other countries Drug makers or other private companies (industry) Medical centers Universities Charities or non-profit organizations",57
Do participants have to pay any costs or do they get paid for taking part in clinical research? 51,"The informed consent form describes the study’s payment and costs. Some studies pay participants who take part, but the amount varies based on the study. Many clinical studies pay for the cost of the intervention and any research-related tests and visits. Some studies may pay costs for research-related travel and lodging, such as costs for parking or meals. Participants, or their insurance companies, still have to pay the cost of their regular health care.",105
What is expanded access? 52,"Expanded access is a possible way for a patient with a serious illness who is unable to take part in a clinical trial to get an intervention (such as a drug or medical device) that isn’t yet approved for treatment. Expanded access is not clinical research and is not available for all interventions being tested. For patients who cannot join a clinical trial and have no other treatment options, expanded access may be an option. The U.S. FDA regulates expanded access. Read more about expanded access on the FDA’s website.",107
Diversity and Inclusion in Clinical Trials 53,"Our health is a combination of physical and mental well-being, which is affected by our behavior, biology, environment, societal policies, and importantly, our lived experiences. The lived experiences of people in the United States vary based on their race and ethnicity, socioeconomic status (SES), geographic location, sexual orientation, gender identity, and other sociodemographic characteristics. Lived experiences also need to be understood in the context of the individual and structural social determinants of health. How and where we live, learn, work and play, and our access to high-quality health care, healthy foods, and quality education can enhance our health outcomes. Similarly, negative experiences and exposures, such as pollution, violence, and structural racism and discrimination, can negatively affect our health. Our health status reflects the interwoven effects of such factors.",172
Why Are Clinical Trials Important? 54,"A clinical trial is a type of clinical research that evaluates the effects of intervention(s), including drugs, devices, surgeries, diets, behavioral approaches, and lifestyle interventions, on health-related biomedical or behavioral outcomes. To account for the diverse lived experiences and exposures of various populations, clinical research should be appropriately inclusive of racial and ethnic minority groups, as well as other populations experiencing health disparities, including sexual and gender minority or socioeconomically disadvantaged populations. Clinical trials can determine if a new intervention is safe, works better, and/or has fewer side effects than an existing treatment or intervention, examine ways to detect a disease early, when it is potentially more treatable, or ways to prevent a health problem altogether, evaluate ways to improve the quality of life of people who have an illness or chronic medical condition, and include testing of behavioral, social, environmental, and structural interventions.",180
The Importance of Diversity & Inclusion in Clinical Trials 55,"People may experience the same disease differently. It’s essential that clinical trials include people with a variety of lived experiences and living conditions, as well as characteristics like race and ethnicity, age, sex, and sexual orientation, so that all communities can benefit from scientific advances. Factors that can influence the risk and likelihood of developing a disease, experiencing a long-term health outcome, and responding to treatment include age, biological sex, pregnancy status, life experiences (negatives, such as psychosocial stress and lack of basic resources, or positives, such as educational and employment opportunities), unhealthy behaviors (e.g., substance use, sedentary lifestyle, overeating, risky sexual activity), health-promoting behaviors (e.g., adequate sleep, obtaining recommended preventive services, physical activity, healthy eating), environmental conditions (e.g., pollution, access to health care or healthy foods, neighborhood segregation), genetic variation, and geographic ancestry, and underlying medical problems or presence of comorbidities (i.e., additional diseases or conditions).",213
Historical Issues and Considerations in Clinical Trials 56,"Historically, clinical trials did not always recruit participants who represented the individuals most affected by a particular disease, condition, or behavior, often relying almost exclusively on White male study participants. This shortcoming has created gaps in our understanding of diseases and conditions, preventive factors, and treatment effectiveness across populations, impeding the quality of health care decision making, ability to counsel people on ways to reduce their risk, optimal treatment responses, and even the development of more effective medications or interventions.",104
Considerations for Inclusive Clinical Trials 57,"Clinicians and researchers should carefully consider the inclusion or exclusion criteria for their clinical trials, for example, a clinical trial excluding participants with high blood pressure or other comorbidities may end up excluding many people over 65 years old, who are more likely to have these conditions, thereby underrepresenting certain groups in the study and making the results less applicable to groups who may benefit the most from the findings.",89
Real-World Examples of the Need for Inclusion in Clinical Trials: COVID-19 Disparities 58,"During the early stages of the pandemic, Coronavirus disease 2019 (COVID-19) disproportionately affected racial and ethnic minority populations, including African American, Hispanic/Latino, American Indian/Alaska Native, and Native Hawaiian and Pacific Islander  population groups, with increased cases, hospitalizations and deaths. It was critical that COVID-19 vaccine trials included sufficient representation across population groups to better understand vaccine effectiveness in populations who vary on environmental exposures and other lived experiences. By using inclusive recruitment practices in COVID-19 clinical trials, researchers have been able to show that vaccine safety and efficacy are similar across all racial and ethnic populations. Engaging diverse populations in planning and implementing such trials can also help increase public confidence  that the vaccine is safe and effective.",171
